episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
1,-529993827,default,TRAIN,0,911.8659,911.8659,QUEST_COMPLETE,0,-1,0,0.3,12,0,0,16,42,2,3,0,443.9064,0,0,162.2456,239.6201,25.59572,30.61047,0,0,-1,0.306297,1,1
2,-529993827,default,TRAIN,912.9033,1226.356,313.4531,CAPTURE,0,-1,0,0.2985,4,0,0,5,12,0,1,0,103.0975,0,0,65.54504,83.59027,0,15.25903,0,0,-1,0.2358762,1,1
3,-529993827,default,TRAIN,1227.601,1558.332,330.731,CAPTURE,0,-1,0,0.2970075,3,0,0,3,21,0,0,0,132.1013,0,0,43.3894,116.2021,0,0,0,0,-1,0.7156389,1,1
4,-529993827,default,TRAIN,1559.493,1608.528,49.03467,CAPTURE,0,-1,0,0.2955225,0,1,0,0,3,0,0,0,0,15.19812,0,0,22.00781,0,0,0,0,-1,1.163015,1,1
5,-529993827,default,TRAIN,1609.823,1717.107,107.2834,CAPTURE,0,-1,0,0.2940449,1,0,0,7,7,0,0,0,45.17505,0,0,52.8999,2.069702,0,0,0,0,-1,1.090585,1,1
6,-529993827,default,TRAIN,1718.426,2004.351,285.9249,CAPTURE,0,-1,0,0.2925746,2,0,0,13,10,0,0,0,29.5957,0,0,135.7346,93.72644,0,0,0,0,-1,0.482271,1,1
7,-529993827,default,TRAIN,2005.406,2409.162,403.7565,CAPTURE,0,-1,0,0.2911118,5,0,0,9,26,1,3,0,202.5815,0,0,31.11865,97.46777,14.74658,24.46045,0,0,-1,0.541345,1,1
8,-529993827,default,TRAIN,2410.191,2864.634,454.4426,CAPTURE,0,-1,0,0.2896562,7,0,0,10,24,0,0,0,256.5068,0,0,120.7,50.01294,0,0,0,0,-1,0.4252702,1,1
9,-529993827,default,TRAIN,2865.726,3296.838,431.1123,CAPTURE,0,-1,0,0.2882079,2,0,0,17,11,0,0,0,90.27441,0,0,225.4995,98.29834,0,0,0,0,-1,0.5344456,1,1
10,-529993827,default,TRAIN,3297.972,3829.361,531.3889,QUEST_COMPLETE,0,-1,0,0.2867669,2,0,0,11,40,0,11,0,90.12988,0,0,102.5479,234.1497,0,84.27881,0,0,-1,0.3625857,1,1
11,-529993827,default,TRAIN,3830.372,4218.859,388.4878,CAPTURE,0,-1,0,0.2853331,5,0,0,4,11,1,1,0,201.8848,0,0,65.80273,79.57251,15.08838,13.16016,0,0,-1,0.964878,1,1
12,-529993827,default,TRAIN,4220.051,4259.597,39.5459,CAPTURE,0,-1,0,0.2839064,1,0,0,0,4,0,0,0,0,0,0,0,9.740723,0,0,0,0,-1,0.7134129,1,1
