Episode,Time,StateHash,Action,Reward,OldQ,NewQ,Delta
0,45.1,144,Patrol,-0.80,0.080,-0.181,-0.2616
0,61.7,108,SweepArea,-0.16,0.079,0.019,-0.0596
0,106.9,108,Patrol,-0.80,0.048,-0.204,-0.2520
0,112.2,144,HideSpotCheck,0.20,0.063,0.126,0.0626
0,114.3,144,HideSpotCheck,0.23,0.126,0.191,0.0650
0,116.1,144,HideSpotCheck,0.23,0.191,0.255,0.0644
0,118.1,144,HideSpotCheck,0.13,0.255,0.286,0.0314
0,120.0,144,HideSpotCheck,0.03,0.286,0.288,0.0013
0,161.0,144,Patrol,-0.31,-0.181,-0.209,-0.0280
0,175.1,144,HideSpotCheck,0.27,0.288,0.325,0.0371
0,190.3,144,HideSpotCheck,-0.65,0.325,0.076,-0.2484
0,205.4,144,HideSpotCheck,-0.64,0.076,-0.124,-0.2004
0,216.4,144,HideSpotCheck,0.04,-0.124,-0.058,0.0659
0,222.5,144,HideSpotCheck,0.77,-0.058,0.209,0.2671
0,223.7,144,HideSpotCheck,-0.66,0.209,-0.036,-0.2444
0,237.0,60,SweepArea,-0.28,0.084,-0.012,-0.0959
0,250.9,114,HeatSweep,0.01,0.008,0.023,0.0156
0,255.4,144,SweepArea,-0.19,0.026,-0.016,-0.0427
0,257.4,144,HideSpotCheck,0.23,-0.036,0.071,0.1064
0,259.2,144,HideSpotCheck,0.23,0.071,0.146,0.0752
0,264.0,144,SweepArea,-0.20,-0.016,-0.037,-0.0204
0,266.2,144,HideSpotCheck,0.23,0.146,0.210,0.0641
0,268.2,144,HideSpotCheck,0.23,0.210,0.273,0.0626
0,270.2,144,HideSpotCheck,0.23,0.273,0.334,0.0612
0,272.1,144,HideSpotCheck,0.13,0.334,0.364,0.0300
0,276.8,144,SweepArea,-0.20,-0.037,0.001,0.0376
0,278.7,144,HideSpotCheck,0.23,0.364,0.423,0.0591
0,280.7,144,HideSpotCheck,0.23,0.423,0.480,0.0568
0,282.9,144,HideSpotCheck,0.23,0.480,0.533,0.0533
0,284.8,144,HideSpotCheck,0.13,0.533,0.557,0.0237
0,286.8,144,HideSpotCheck,0.03,0.557,0.550,-0.0073
0,331.9,144,Patrol,-0.86,-0.209,-0.400,-0.1910
0,342.8,108,HideSpotCheck,0.14,0.037,0.085,0.0478
0,359.3,114,SweepArea,-0.16,0.095,0.029,-0.0659
0,370.2,108,HideSpotCheck,0.30,0.085,0.164,0.0798
0,380.8,108,HideSpotCheck,0.14,0.164,0.187,0.0225
0,397.6,108,SweepArea,-0.32,0.019,-0.012,-0.0314
0,442.8,144,Patrol,-0.78,-0.400,-0.499,-0.0990
0,446.7,144,HideSpotCheck,0.21,0.550,0.584,0.0340
0,448.5,144,HideSpotCheck,0.23,0.584,0.637,0.0536
0,453.2,144,SweepArea,-0.05,0.001,0.138,0.1367
0,455.0,144,HideSpotCheck,0.23,0.637,0.689,0.0518
0,500.3,144,Patrol,-0.86,-0.499,-0.602,-0.1023
0,511.1,108,HideSpotCheck,0.14,0.187,0.205,0.0185
0,521.9,108,HideSpotCheck,0.14,0.205,0.201,-0.0045
0,562.1,110,Patrol,0.65,0.084,0.254,0.1704
0,563.5,110,Patrol,-0.90,0.254,-0.088,-0.3421
0,575.2,80,HeatSweep,0.03,0.099,0.192,0.0935
0,575.5,144,HideSpotCheck,-0.50,0.689,0.536,-0.1530
0,607.2,144,Patrol,0.10,-0.602,-0.386,0.2155
0,617.3,128,AmbushHotChoke,0.05,0.085,0.171,0.0855
0,617.6,144,HideSpotCheck,-0.50,0.536,0.384,-0.1524
0,617.8,144,HideSpotCheck,-0.50,0.384,0.232,-0.1516
0,618.1,144,HideSpotCheck,-0.50,0.232,0.081,-0.1510
0,628.4,144,SweepArea,0.05,0.138,0.135,-0.0028
0,658.1,144,Patrol,0.10,-0.386,-0.230,0.1557
0,658.4,144,HideSpotCheck,-0.50,0.081,-0.053,-0.1344
0,681.3,144,SweepArea,-0.22,0.135,0.042,-0.0930
0,690.4,144,SweepArea,-0.24,0.042,-0.024,-0.0663
0,699.4,144,SweepArea,-0.24,-0.024,-0.070,-0.0458
0,709.2,144,HideSpotCheck,0.30,-0.053,0.066,0.1191
0,717.9,145,SweepArea,-0.24,0.066,-0.012,-0.0780
0,727.6,145,HideSpotCheck,0.30,0.041,0.129,0.0883
0,737.3,145,HideSpotCheck,0.30,0.129,0.205,0.0759
0,747.0,145,HideSpotCheck,0.30,0.205,0.272,0.0667
0,757.0,145,HideSpotCheck,0.05,0.272,0.254,-0.0175
0,767.1,145,HideSpotCheck,0.10,0.254,0.254,-0.0007
0,776.8,145,HideSpotCheck,0.00,0.254,0.225,-0.0290
0,786.8,145,HideSpotCheck,-0.85,0.225,-0.057,-0.2821
0,815.7,145,Patrol,-0.19,0.030,-0.032,-0.0620
0,830.8,145,AmbushHotChoke,-0.53,0.027,-0.127,-0.1539
